ID,Title,Content,Link
ZT0001,"İskandinav Ülkelerinde Verimli Bir Kamp Dönemi Geçiren Diyanet İşleri Başkanlığı, Ramazan Boyunca Halka Fakirliği Övüp Sabır Telkin Etmeye Hazır...","Ramazan öncesi hazırlık kampını İskandinav ülkelerinde gerçekleştiren Diyanet İşleri Başkanlığı, 1 ay boyunca halka fakirliği övüp, sabır ve şükür telkin etme maratonuna başladı...

8-13 Şubat tarihleri arasında  İsveç, Norveç ve Danimarka'da düzenlenen kampta verimli bir hazırlık dönemi geçirdiklerini belirten Diyanet Sözcüsü Muzaffer Ayazcılar, 80 milyar TL'lik bütçesi ve 211 bin çalışanıyla Diyanet'in her yıl olduğu gibi bu yıl da Ramazan'ın en iddialı ekiplerinden biri olacağını ifade etti.

""Ekonomik şartlar nedeniyle bu yıl her zaman olduğundan daha güçlü bir şekilde fakirlik övüp sabıra yüklenmemiz gerekiyor. Önümüzdeki zorlu maratonun farkındayız ama biz de %60'ı açlık, %95'i yoksulluk sınırının altında yaşayan bir kitleye fakirliği sevdirmemiz gerektiğinin bilincinde olarak bu zorlu maratona hazırlandık"" diyen Ayazcılar, kampın Norveç etabında özellikle açlık konusu üzerinde yoğunlaştıklarını da sözlerine ekledi.

""Biliyorsunuz orada güneşin hiç batmadığı dönemler var. Gerçi o dönem yaza denk geliyor ama biz sanki yazmış gibi o saate göre oruç tutarak antrenmanlarımızı yaptık. İlk bir kaç gün ayılan bayılan arkadaşlarımız olsa da sonrasında ortalama bir emekli vatandaşımız ya da öğrencimiz kadar açlığa dayanmayı öğrendiler."" sözleriyle zorlu kamp sürecini aktaran Diyanet Sözcüsü, halka övecekleri fakirliği kısa süreliğine bile olsa 1. elden deneyimleyen takımın bu konuda çok daha inandırıcı olacağına dikkat çekti.

Son olarak bütün Diyanet çalışanlarına Ramazan Ayı'nda başarılar dileyen Ayazcılar, ""Şurada fakirliği övmemiz gereken son 1 ay. Hatta 1 ay bile yok, yerel seçime kadar övsek yeter. 20 gün elimizden geleni yapalım, sonrasında 2028'e kadar ister şükretsinler ister küfretsinler. En az 3-4 yıl rahatız"" sözleriyle camiaya moral aşıladı.

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=418917
ZT0002,Uzmanlar Uyarıyor: ''Tatile çıkarken bir arkadaşa emanet edilen kedilerle dönüşte geri alınanların %35'i farklı hayvanlar...'',"Yapılan bir araştırma, evinde evcil hayvan besleyenlerin tatile giderken en sık başvurduğu yöntem olan ""bir arkadaşa emanet etme"" hakkında, kamuoyunun uzun zamandır şüphelendiği bir gerçeği ortaya çıkardı. Araştırmaya göre, kediler başta olmak üzere tatilden dönüşte geri alınan evcil hayvanların %35'i, gitmeden evvel emanet edilenlerden farklı hayvanlar.

Şüpheler haklı çıktı

'Türkiye'de Evcil Hayvan Besleme Alışkanlıkları"" başlıklı araştırma kapsamında 18 ilde 6500 kişiye, 'tatile çıkarken evcil hayvanınızı napıyorsunuz?' sorusu soruldu. Araştırmaya katılanlardan %57'si hayvanı bir arkadaşlarına, komşularına ya da akrabalarına emanet ettiklerini; %18'i kendileriyle birlikte tatile götürdüklerini; %14'ü yeterli miktarda su ve mamayla birlikte evde 'Allah'a emanet ettiklerini; %9'u hayvanı sokağa salıp 'dönerse benimdir' yaklaşımını benimsediklerini; %4'ü ise uygun bir evcil hayvan oteline yerleştirdiklerini belirttiler.

Araştırmanın 2. bölümünde, hayvanın emanet edildiği kişilerle yapılan yüz yüze görüşmeler ise bugüne kadar pek çok kişinin şüphelenmesine rağmen yüksek sesle dile getirmekten çekindiği bir gerçeğin ortaya çıkmasını sağladı. Buna göre evcil hayvan emanet edilenlerin %35'i hayvanı bir şekilde kaybedip, arkadaşı tatilden dönene kadar onun yerine çok benzer başka bir hayvan bulma telaşına düşüyor.

Uzmanlar uyarıyor

Araştırmayla ilgili olarak sorularımızı yanıtlayan veteriner hekim Ilgaz Yörüksel ise sonucun kendisi için çok da sürpriz olmadığını belirterek şunları kaydetti:

""Her sene yazın veteriner kliniklerine elinde bir kedi-köpek fotoğrafıyla gelip, nerdeyse yalvararak 'Buna çok benzeyen bir hayvan var mı sizde?' diye soranların sayısında patlama yaşanır. Biz anlarız ki o şahıs kendisine emanet edilen hayvanı ya elinden kaçırmış ya da maalesef düzgün bakamayıp ebediyete intikal etmesine sebep olmuş. Sokaktan bulduğu kediyi getirip 'yarına kadar şunun sırtını sarıya boyayıp fotoğraftaki kediye benzetmemiz mümkün mü?' diye soranlar dahi oluyor. Biz elimizden geldiğince yardımcı olmaya, ufak tefek estetik müdahalelerle durumu kurtarmaya çalışıyoruz ama tabii doğru bir şey değil. Artık bu işin bir son bulması gerekiyor...""

İşe yarıyor

Yörüksel, kaybolanın yerine benzer hayvan verme yönteminin büyük çoğunlukla işe yaradığını ve sahiplerin genellikle durumdan şüphelenmediğini de belirtirken, ""e neticede hayvan tabii, bi yerden sonra hepsi birbirine benziyor. 2-3 gün 'bunun huyu mu değişmiş biraz ne?' deyip hayatlarına devam ediyorlar"" sözleriyle durumun o kadar şaşırtıcı olmadığını ifade etti

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=420762
ZT0003,"Hazine ve Maliye Bakanlığı, Yurt Dışından Yapılan ''Şu kadar yedik, bu kadar tuttu'' Paylaşımlarına Vergi Düzenlemesi İçin Düğmeye Bastı...","Gelir İdaresi Başkanlığı'nın yurt dışı çıkış harcının 3000 TL'ye çıkarılması yönündeki teklifine tepkiler sürerken,  Türkiye bu kez de yurt dışından yapılan faturalı sosyal medya paylaşımlarına fatura tutarı üzerinden vergi getirilmesi gündemiyle sarsıldı.

Hazine ve Maliye Bakanlığı’na bağlı Gelir İdaresi Başkanlığı’nın (GİB) “2024 yılı kanun çalışmaları sunumu” metninde yeni vergi paketine dair öneri ve tahminler arasında yurt dışından yapılan sosyal medya paylaşımlarından özel vergi alınmasına dair tekilfin de yer alması, kamuyonda adeta soğuk duş etkisi yarattı.

Tasarıya göre yurt dışından yapılan Instagram paylaşımları için post başına 180 TL, Story başına ise 120 TL sabit ücret alınması planlanırken, yediği yemeğin ya da yaptığı market alışverişinin faturasını paylaşan kullanıcılardan da fatura tutarının %20'si oranında GHV(Göz Hakkı Vergisi) alınması planlanıyor.

Kamuoyunda yoğun tepkilere neden olan yeni düzenlemeyle ilgili olarak konuşan Hazine ve Maliye Bakanı Mehmet Şimşek, düzenlemenin tamamen Türkiye'nin kıymetli döviz rezervlerini ve toplumsal barışını korumaya yönelik bir hamle olduğuna işaret etti.

Yurt dışından yapılan fatura paylaşımlarının vatandaşlar üzerinde ""Bizi burada feci düdüklüyorlar"" ve ""Bir yerlerden para bulup ben de gitmeliyim"" gibi olumsuz etkiler uyandırdığına dikkat çeken Şimşek ""Biz burada yurt dışı çıkış harcını 3000 lira da yapsak boş. Yurt dışındaki fiyatları gören vatandaşlarımız 'ben o 3000 lirayı dışarda 2 öğün yemekte çıkarır yine daha ucuza tatil yaparım' diyerek vizesi varsa Avrupa'ya yoksa Tayland mayland artık nereyi bulursa gitmeye çalışıyor."" derken, uygulamanın esas olarak  fatura paylaşımı konusunda caydırıcı olmasını beklediklerini ifade etti.

""Tercihen hiç gitmeyin""

Şimşek, Göz Hakkı Vergisi'yle hem Türkiye'nin pahalı bir ülke olduğu imajını güçlendiren paylaşımları azaltmayı hem de yurt dışına çıkan döviz üzerinden hazineye vergi geliri sağlamayı hedeflediklerini belirterek şöyle devam etti:

""Arkadaşlar tekrar altını çizmek istiyorum, öyle yurt dışına tatile gideyim, oradan havalı havalı paylaşımlar yapayım, yetmedi bir de üstüne 4 kişi masa donattık, uzosuydu balığıydı 8 çeşit mezesiydi 80 euro ödeyip kalktık falan böyle şeyler istemiyoruz. Tercihen hiçbir yere gitmeyin, gideceksiniz de kaç para harcadığınızı kendinize saklayın. Önümüzdeki 3-5 yıl, hepimizin en fazla Ayvalık'taki kayınpederimizin yazlığına sığıntı olarak giderek tatil yapabileceği bir süreç olacak. Hepimiz derken biz değil tabii de siz normal vatandaşlarımızdan bahsediyoruz. Bizim biliyorsunuz korurmamız gereken bir itibarımız olduğundan. Neyse şimdi konu bu değil...""

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=420702
ZT0004,"Bayram Tatili İçin Rodos'a Giden Emekli Albay Cemil Orhuner, Diğer Türk Tatilcilerin de Yardımıyla Adada Yönetime El Koydu...","Rodos Valilik binasında kurmayları ile birlikte dünya basınına açıklama yapan Orhuner, Bayram tatili için geldiği Rodos adasına gezintiye çıktığı esnada yoğun Türk nüfusu ve eski çalışma arkadaşlarından bir kaçıyla karşılaşınca aklına fetih fikrinin geldiğini aktardı.

Kurmaylarıyla tabak kırmalı bir tavernada uzo sofrasında buluşup bu konuyu kendilerine açtığını ve ve birlikte plan yaptıklarını belirten Emekli Albay, ada halkının siesta vaktini seçtikleri için hiç zorluk yaşamadıklarını, kalabalığa ihtiyaç duydukları yerlerde ise yüksek sesli bir şekilde İzmir Marşı okuyarak kısa sürede kalabalığa ulaştıklarını ve bu sayede kritik noktaları kısa sürede kontrol altına aldıklarını ifade etti.

“ Palmiye Sitesi Yöneticiliği Görevimi Bir Süre Daha Devam Ettireceğim.”

Emekli olduktan sonra oturmuş olduğu Palmiye Sitesinde yöneticilik görevini yaptığı ama bu görevin kendisine küçük geldiğini, artık bir şehir yönetecek olduğu için mutlu olduğunu belirten Orhuner, Site yönetimi tekrar toplanana kadar yöneticiliğe uzaktan devam edeceğini, C blok daire:5 sakini Suat Yusuf Beyin biriken 3 aylık aidatı ödemediği takdirde kendisine ülke olarak nota vereceğini de sözlerine ekledi.

110 yıl önce kaybedilen adayı, kapı vizesi ve siesta sayesinde kan dökmeden geri aldıkları için fethe katılan her vatandaşa teşekkür eden Orhuner, ""Rum vatandaşlarımızın da endişesi olmasın; sirtaki de bizim harmandalı da, cacık da, bizim caciki de"" sözleriyle çok kültürlülüğü destekleyeceklerini açıklayarak basın toplantısını sonlandırdı.

(Hakan Genç Brüksel'den bildirdi)

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=420624
ZT0005,"Merve Uraz(27), Bugüne Dek Kimsede Bulamadığı Huzuru Yine Bayram Temizliği İçin Eline Tutuşturulan Sarı Bezde Buldu...","Her yıl olduğu gibi bu yıl da yüz binlerce genç kadın, özel hayatında yakalayamadığı huzur ve mutluluğu bayram öncesi anneleri tarafından ellerine tutuşturulan mikrofiber sarı bezlerde buldu...

Bayram temizliği için göreve koşulan isimlerden biri olan Merve Uraz(27), sehpaların tozunu aldığı sırada basına yaptığı açıklamada elindeki sarı bezi işaret ederek ''yemin ederim şunun verdiği huzuru hiçbir adam vermedi daha'' derken, başta hep gönülsüz olarak giriştiği bayram temizliğinin her zaman olduğu gibi yine kusursuz bir terapiye dönüştüğünü ifade etti.

""Ne ilgisiz tavırları kaldı, ne tatilde yediği haltlar, ne de instagram'da durmadan fotoğraflarını beğendiği o kevaşe kaldı aklımda. Ne bok yiyosa yesin"" sözleriyle yakında ex'ler listesine eklenecek erkek arkadaşına seslenen genç kadın, şu an tek düşünebildiği şeyin sehpaları bitirip önce vitrine, oradan da camlara geçmek olduğunu dile getirdi.

Annesinin ''Kızım oyalanma hadi daha halılar alınacak makinayla. Ben salonu bir su sildim, simsiyah oldu su.  Yemin ederim rezil olucaz insanlara"" çağrısıyla basın toplantısına son veren Uraz, spotify'dan açtığı 90'lar Türkçe pop listesine arada detone sesiyle eşlik ederek tüm hıncını ortah sehpadaki bir türlü çıkmayan lekeden çıkarmaya devam etti.

(IronyQueen Brüksel'den bildirdi)

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=420611
ZT0006,"Verdiği Oylarla Eğitimi Hizbullah Terör Örgütü ve Tarikatlara, Adaleti de Mafya ve Çetelere Teslim Eden Muzaffer Eycil(68), Emekli Maaşının (10 bin TL) Bayramdan Önce Yatmamasına Tepkili...","Bugüne dek verdiği oylarla eğitimi Hizbullah Terör Örgütü ve tarikatlara, adaleti de mafya ve çetelere teslim ederek Türkiye'nin kimsenin can ve mal güvenliğinin olmadığı, gençlerin geleceklerini yurt dışında aradığı, 10 milyondan fazla mülteci tarafından işgal edilmiş ve ekonomisi çökmüş bir Ortadoğu ülkesi haline gelmesini sağlayan Muzaffer Eycil, 10 bin TL'lik emekli maaşının bayramdan önce yatmaması yüzünden mağdur durumda...

Verdiği oylarla sadece eğitimi ve adaleti değil aynı zamanda tarım ve hayvancılığı da çökertip Türkiye'yi gıda enflasyonunda dünya 1.'si yaptığı için bırak kurban kesmeyi kasaptan yarım kilo kıyma alacak gücü bile bulunmayan Eycil, neye derman olacağı bilinmeyen 10 bin lira (300 dolar) için umutlu bekleyişini bu sabah saatlerine kadar sürdürmüştü.

Maaşı bayramdan önce yatmış olsa verdiği oylarla geleceklerini çaldığı 7 ve 11 yaşlarındaki iki torununa 100'ler lira bayram harçlığı vereceğini belirten Eycil ""Hem de çocuklara bi karne hediyesi gibi olacaktı"" derken, söz konusu beş para etmez karnenin Milli Eğitim Bakanlığı'na bağlı bir okulda görev yapan ve büyük ihtimalle ya Hizbullahçı bir terörist ya da Tarikatçı bir sapık olduğu için o koltukta oturan bir müdür tarafından imzalanıyor olmasına da önemli katkılar sağlamıştı.

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=420602
ZT0007,Sıcak Havalardan Şikayet Eden Vatandaşlara Meteoroloji Genel Müdürlüğü'nden Önemli Hatırlatma: ''Haziran ayındayız...'',"Hava sıcaklıklarının yükselip yaz mevsiminin kendini iyiden iyiye hissettirmesiyle birlikte yoğunlaşan ''Off bu ne sıcak'' şikayetleri sonunda Meteoroloji Genel Müdürlüğü'nü harekete geçirdi. Kurum, yazın sıcak havaya kışın da soğuk havaya şaşıran vatandaşları Türkiye'de iklim şartları ve mevsim normalleri konusunda bilgilendirmek üzere 81 ilde eğitim ve seminerler düzenleyecek.

İlk sunum basın mensuplarına

Konuyla ilgili olarak bu öğleden sonra bir basın toplantısı düzenleyen Meteoroloji Genel Müdürlüğü Eğitim Dairesi Başkanı Sertaç Sekmen, oturuma ""Türkiye'de Mevsimler: İlkbahar-Yaz-Sonbahar-Kış"" başlıklı bir barkovizyon gösterisiyle başladı. Sunumun ardından basın mensuplarına seslenen Sekmen ""Evet arkadaşlar, az evvel birlikte izlediğimiz gibi Türkiye 4 mevsimin yaşandığı bir coğrafyada bulunuyor. Bildiğimiz kadarıyla da son bir kaç yüz bin yıldır bu coğrafyada meteorolojik anlamda çok önemli bir değişiklik de olmadı. Kasım - Mart arası kış, Haziran Ekim arası da yaz. Kışın hava soğuk oluyor, yazın da sıcak. Umarım en azından siz değerli gazeteciler için bu konu netleşmiştir."" dedikten sonra tek tek bütün gazetecilere ""Yazın hava nasıl oluyormuş?"" diye sordu.

""Haziran ayından tam olarak ne bekliyorsunuz?'

Bütün basın mensuplarından ""Sıcak"" yanıtını almasıyla birlikte keyfi yerine gelen Sekmen, ""Güzel, demek ki doğru anlatılınca oluyormuş. Şimdi bu bilgiyi tüm halkımıza aktarma zamanı."" sözleriyle Türkiye genelinde başlatılacak meteorolojik bilinçlendirme kampanyasının da startını verdi. Bir gazetecinin ""Peki neden şimdi?"" sorusuna karşılık olarak Sosyal Medya'yı işaret eden Sekmen, şöyle devam etti:

""Aslında haklısınız, yıllardır bu duruma alışkınız. Sağda solda, dost sohbetlerinde herkes yazın sıcaktan kışın soğuktan şikayet eder ama sosyal medyanın yaygınlaşmasıyla birlikte bu iş iyice çığrından çıktı. Her yıl bu zamanlar 'Vay bu ne sıcak?'lar, 'Oha 39 derece ne mk'lar, 'Esmiyor' caps'leri havalarda uçuşuyor. Sanki bu seneye kadar tropikal iklimde yaşıyorduk, hava yaz kış 28 dereceydi de bu yıl enlem değiştirmişiz gibi herkes çok şaşkın.

Bir kişi de çıkıp 'Lan haziran ayındayız, ne bekliyorsunuz?' demiyor. Bir değil iki değil. Hadi başlarda biz de güldük ettik. Twitter hesabımıza mention atıp havayı biraz serinletmemizi talep eden kullanıcılara sempatik yanıtlar verdik ama artık onun da b.ku çıktı. Koca kuruma DM'den yürüyenler var. Neyse, biz son kez herkese tek tek yazın havanın sıcak, kışın da soğuk olduğunu, bunda şaşılacak bir şey olmadığını insan gibi anlatacağız ve bu konu bir daha açılmamak üzere burada kapanacak. Kendinize başka eğlence bulun. Hava bu, çocuk oyuncağı değil!""

Sekmen, 81 ilde eş zamanlı bir şekilde başlayacak olan seminerlere katılımın zorunlu tutulması için valiliklerle koordinasyon halinde olduklarını da belirtirken, ""Ya da bilmiyorum zorunlu da olmayabilir... Çok sıcak çünkü... Şimdi kim kalkıp oraya kadar... Çocuklar şu klimayı biraz daha açsanıza ya hiç esmiyor... Sonbahara mı ertelesek biz bu işi?"" sözleriyle toplantıya son verdi.

(Kamuran Hardcore Brüksel'den bildirdi)

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=420566
ZT0008,"Hazine ve Maliye Bakanı Mehmet Şimşek, Herhangi Bir Şey Alıp Satmadan da Vergi Ödeme İmkanı Sunan Yeni Paketi Tanıttı...","Hazine ve Maliye Bakanlığı, herhangi bir ticari faaliyette bulunmaksızın direkt olarak olarak vergi ödeme kolaylığı sağlayan 'Ürünsüz Vergi Paketi'ni bu akşam düzenlenen bir basın toplantısıyla kamuoyuna tanıttı. Bakan Mehmet Şimşek'in ''Arkadaşlar, bu elimde görmüş olduğunuz kutu, yeni vergi paketimiz. Artık vergi ödemek için illa arabadır, evdir, tuvalet kağıdıdır falan bunları alıp satmanıza gerek yok. Sadece bu kutuyu satın alarak, herhangi bir ürün fiyatına da katlanmak zorunda olmadan ekonomimize katkıda bulunabileceksiniz"" sözleriyle tanıttığı vergi paketi, çok yakında perakende satış noktalarında ve PTT bayilerinde satışa sunulacak.

""İlla bir tüketim maddesi almaya gerek yok""

Artan vergi oranlarının vatandaşların sırtına önemli bir yük getirdiğini belirten Şimşek, yeni sistem sayesinde bu yükün önemli ölçüde hafifleyeceğine dikkat çekerken, sadece vergiyi satın alarak tüketiciyi gereksiz ürün maliyetinden kurtaracak olan yeni paket hakkında şu bilgileri paylaştı:

“Bakın arkadaşlar mesela bu elimdeki kutu ÖTV, KDV ve Stopaj’dan oluşan 5000 liralık mini vergi paketi. Bunun üzerine %20 KDV'sini de eklediğimiz zaman 6000 lira gibi cüzi bir tutara tekabül ediyor. Normal şartlarda bu vergiyi ödemek isteyen insan aşağı yukarı 5 büyük rakı, 10 paket de sigara almak zorunda. Bu da 7-8 bin lira gibi bir masraf demek. Vergi paketimizi alarak hem bu illetlerin maliyetinden kurtuluyoruz, hem sağlığımız bozulmuyor, hem de aslanlar gibi devletimize yine vergimizi ödemiş oluyoruz...""

Vergi kaçakçılığı da bitecek

Bakan Şimşek, 60.000 TL vergi ödemek için 100 bin liralık cep telefonu alma devrinin de artık sona ereceğini belirtirken, ""Müfettişlerimiz her ay kapı kapı gezerek kutu kontrolü yapacaklar. Evinde veya iş yerinde o ay vergi paketi bulunmayanlardan 3 mega paket tutarında vergiyi otomatik olarak tahsil edecekler. O yüzden vatandaşlarımız aldıkları kutuları atmasınlar. Neticede hem bir hatıradır hem de ileride taşınırken falan lazım olur"" diyerek, yeni uygulamanın vergi kaçakçılığını minimuma indireceğini de sözlerine ekledi.

Her keseye uygun vergi paketleri

İlk etapta normal boy, süper boy ve mega boy olmak üzere 3 farklı ebatta tüketicilerin beğenisine sunulacak olan vergi paketleri, Ocak ayı sonuna dek tüm Türkiye’de perakende satış noktalarından ve PTT şubelerinden kolayca temin edilebilecek. Lansmanın sonunda örnek olarak yanında getirdiği mega paketleri basın mensuplarına dağıtan Şimşek, ""Arkadaşlar, merak etmeyin. Kutular tanıtım amaçlı olduğu için sadece 22500 Lira'ya sizde kalacak. Paraları elden ele yapıp, bana yollarsanız sevinirim"" sözleriyle hoş bir sürpriz de yaptı. İlk satışı muhabirlere gerçekleştirilen Mega Paketin içeriği ise şu vergilerden oluşuyor:

- Yıllardır ÖTV verememenin acısıyla yaşayan; Sigara içmeyen, cep telefonu ve araba kullanmayanlar için ÖTV.

- Kendisini bir kez olsun A.Ş. gibi hissetmek isteyenlere Özel Kurumlar Vergisi.

- Stopaj (Tam ne olduğunu kimse bilmiyor ama adı çok havalı)

- Sadece mega pakete özel, nostalji severlerin de vazgeçemeyeceği: Öşür

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=420542
ZT0009,YKS 2024: ''Yılda 100 bin dolar verip sizi Amerika'da okutacak bir babanız var mı?'' Sorusuna ''Hayır'' Yanıtı Veren 3 Milyon Aday İlk Turda Elendi...,"3 milyon 120 bin 875 adayın üniversiteye girmek için yarıştığı YKS'nin birinci oturumu TYT'de sonuç bu yıl da hüsran oldu. ÖSYM'den yapılan açıklamada, sınavda ""Yılda 100 bin dolar verip sizi Amerika'da okutacak bir babanız var mı?"" sorusuna ''hayır"" diyerek hatalı yanıt veren 3 milyon 100 bin adayın ilk turda elendiği belirtilirken, geri kalan yaklaşık 20 bin adaya 9 Haziran'da yapılacak AYT sınavında başarılar dilendi...

Konuyla ilgili olarak ÖSYM'den yapılan açıklamada, ilk turu geçmeyi başaran 20 bin adayın canları isterse 2. turda da yarışabilecekleri ancak çok da gerekli olmadığı kaydedildi. Babalarının parasıyla yurt dışında ya da içinde herhangi bir diplomayı alabilecekken zahmet edip YKS'ye giren adaylara teşekkür edilen açıklamada, ""Sonunda varacağınız noktanın yine babanızın dizinin dibinde oturup onun bahşettiği bir koltukta bir şeyler yapıyor gibi görünmek olduğunu bilmenize rağmen bu güzel hafta sonunda bir kaç saatinizi kurumumuzun lüzumsuz sınavına ayırdığınız için minnettarız. Gerçekten hiç gerek yoktu"" ifadelerine yer verildi.

Açıklamada, kritik soruya yanlış yanıt vererek elenen adaylara da sesleniliriken ""Tam ne düşündünüz ne umdunuz de bugün sınava girdiniz bilmiyoruz ama en azından pazar gününüzü daha anlamlı bir aktiviteyle değerlendirebilirsiniz. Bir paket çekirdek alıp bir parka falan gidin mesela"" sözleriyle gençlere yol gösterildi.

Babası yeterince zengin olmadığı için ilk turda elenen adaylara ümitsizliğe kapılmadan önümüzdeki yıl için çalışmaya şimdiden başlamalarını da tavsiye eden ÖSYM, sıkı ve düzenli çalışılması halinde 1 yıl içinde bahisten para vurmak ya da tiktok fenomeni olup kara para aklamak gibi kariyer olanaklarının imkansız olmadığına dikkat çekti.

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=420513
ZT0010,Kurban Bayramı Tatilinin 9 Gün Olarak Açıklanmasının Ardından Yunanistan'da Olağanüstü Hal İlan Edildi...,"Cumhurbaşkanı Erdoğan tarafından Kurban Bayramı tatilinin 9 gün olarak ilan edilmesi Yunanistan'ı karıştırdı. Türk turist istilasına karşı olağanüstü hal ilan edilen ülkede ikinci bir emre kadar tüm izinler iptal edilirken, gıda rezervlerinin yetersiz kalması ihtimaline karşı AB'den de yardım istendi.

""10 günümüz var""

Haberin duyulmasının ardından Yunan Devlet Televizyonu ERT1'den halka seslenen Başbakan Kiriakos Miçotakis, olağanüstü hal kararıyla birlikte ülkede seferberlik ilan edildiğini açıkladı. Gerekli hazırlıkları yapmak için önlerinde çok sınırlı bir süre olduğuna dikkat çeken Miçotakis, ""10 gün sonra yüzbinlerce Türk, 4 kişi içkisiyle, mezesiyle, balığıyla sofra kurdurup 35 Euro hesap gelmesini övmek için gelecekler. 'Abi adam gibi muamele görüyorsun, şezlong parası diye bir şey yok mesela' demek için gelecekler. Eğer şimdiden hazırlanmaya başlamazsak o kadar adama ne meze yetiştirebiliriz, ne uzo, ne de şezlong..."" sözleriyle ülkenin ciddi bir kıtlık tehdidiyle karşı karşıya olduğunu ifade etti.

Kiriakos Miçotakis, ülkede eli çatal-bıçak tutan herkesin bu akşamdan başlayarak artık hangi mezeyi biliyorsa onu yapması gerektiğini belirtirken, Yunan Deniz Kuvvetleri'ne de bu geceden itibaren sivil teknelerle birlikte balık avına çıkma emri verildiğini ifade etti. Fabrikaların yetersiz kalma ihtimaline karşı OHAL süresince evde kaçak Uzo üretimini de serbest bıraktıklarını açıklayan Yunanistan Başbakanı, ""Elinden öyle işler gelen varsa hiç çekinmeden başlasın. Anason temini konusunda biz kendilerine yardımcı olacağız. Artık 3-5 turist kör falan olursa ona da yapacak bir şey yok. Neticede bu bir vatan davasıdır"" diyerek herkesi taşın altına elini koymaya çağırdı.

AB'den yardım istendi

Her ihtimale karşı Avrupa Birliği'ne gıda ve şezlong yapımı için kereste yardımı konusunda başvurduklarını ve sonucun olumlu olmasını beklediklerini söyleyen Miçotakis, vatandaşları rahatlatıcı mesajlar da verirken son olarak şunları kaydetti:

""Benden sonra bir yere ayrılmayın, '300 Spartalı' filmi yayınlanacak. Şanlı ecdadımızın, kalabalık istilacılara kısıtlı imkanlarla nasıl günlerce karşı koyduğunu bir kez daha çoluğunuzla çocuğunuzla hep birlikte izlemenizi istiyorum. Onlar yaptıysa biz de yapabilriz. Yeter ki bir olalım, iri olalım, diri olalım. Kaldı ki şurada 1 hafta yani, sonra paraları biter dönerler. Çok da şeyapmayın...""

Vahit Gözgel, Emekli

Diğer yorumlar ->

Uğurhan Culak, Elektrik tesisatçısı

Diğer yorumlar ->",https://www.zaytung.com/haberdetay.asp?newsid=420475
