ID,Title,Link,Page
ZT0001,Belediyenin Almanya’ya eğitime gönderdiği 45 kişiden 43'ü geri dönmedi...,https://www.zaytung.com/halkinsesi.asp?vcid=713,1
ZT0002,"İskandinav Ülkelerinde Verimli Bir Kamp Dönemi Geçiren Diyanet İşleri Başkanlığı, Ramazan Boyunca Halka Fakirliği Övüp Sabır Telkin Etmeye Hazır...",https://www.zaytung.com/haberdetay.asp?newsid=418917,1
ZT0003,Uzmanlar Uyarıyor: ''Tatile çıkarken bir arkadaşa emanet edilen kedilerle dönüşte geri alınanların %35'i farklı hayvanlar...'',https://www.zaytung.com/haberdetay.asp?newsid=420762,1
ZT0004,"Hazine ve Maliye Bakanlığı, Yurt Dışından Yapılan ''Şu kadar yedik, bu kadar tuttu'' Paylaşımlarına Vergi Düzenlemesi İçin Düğmeye Bastı...",https://www.zaytung.com/haberdetay.asp?newsid=420702,1
ZT0005,"Bayram Tatili İçin Rodos'a Giden Emekli Albay Cemil Orhuner, Diğer Türk Tatilcilerin de Yardımıyla Adada Yönetime El Koydu...",https://www.zaytung.com/haberdetay.asp?newsid=420624,1
ZT0006,"Merve Uraz(27), Bugüne Dek Kimsede Bulamadığı Huzuru Yine Bayram Temizliği İçin Eline Tutuşturulan Sarı Bezde Buldu...",https://www.zaytung.com/haberdetay.asp?newsid=420611,1
ZT0007,"Verdiği Oylarla Eğitimi Hizbullah Terör Örgütü ve Tarikatlara, Adaleti de Mafya ve Çetelere Teslim Eden Muzaffer Eycil(68), Emekli Maaşının (10 bin TL) Bayramdan Önce Yatmamasına Tepkili...",https://www.zaytung.com/haberdetay.asp?newsid=420602,1
ZT0008,Sıcak Havalardan Şikayet Eden Vatandaşlara Meteoroloji Genel Müdürlüğü'nden Önemli Hatırlatma: ''Haziran ayındayız...'',https://www.zaytung.com/haberdetay.asp?newsid=420566,1
ZT0009,"Hazine ve Maliye Bakanı Mehmet Şimşek, Herhangi Bir Şey Alıp Satmadan da Vergi Ödeme İmkanı Sunan Yeni Paketi Tanıttı...",https://www.zaytung.com/haberdetay.asp?newsid=420542,1
ZT0010,YKS 2024: ''Yılda 100 bin dolar verip sizi Amerika'da okutacak bir babanız var mı?'' Sorusuna ''Hayır'' Yanıtı Veren 3 Milyon Aday İlk Turda Elendi...,https://www.zaytung.com/haberdetay.asp?newsid=420513,1
ZT0011,Kurban Bayramı Tatilinin 9 Gün Olarak Açıklanmasının Ardından Yunanistan'da Olağanüstü Hal İlan Edildi...,https://www.zaytung.com/haberdetay.asp?newsid=420475,1
ZT0012,"Interpol Tarafından Kırmızı Bültenle Arananların İlk Tercihi Olan Türkiye, 2024 Turizm Sezonundan Umutlu...",https://www.zaytung.com/haberdetay.asp?newsid=420389,2
ZT0013,"Vize Başvurusu 6. Kez Reddedilen Genç, Yeteneklerini Ve Birikimini Türkiye İçin Kullanmaya Karar Verdi...",https://www.zaytung.com/haberdetay.asp?newsid=420360,2
ZT0014,"Sokak Hayvanları Yasa Tasarısı Hakkında AKP'den Rahatlatan Açıklama: ''Bu sorunu da olabilecek en kötü şekilde çözüp elimize yüzümüze bulaştırma noktasında...""",https://www.zaytung.com/haberdetay.asp?newsid=420275,2
ZT0015,"Sokak ve Parklarda Sahipsiz Gezen 65 Yaş Üstü Emeklilerin de Uyutulması, Yeni Yasa Tasarısında Oylamaya Sunulacak...",https://www.zaytung.com/haberdetay.asp?newsid=420272,2
ZT0016,Havada Bir Süre Kalabilen Son Taşıtını da Kazaya Kurban Veren İran'da 5 Günlük Yas İlan Edildi...,https://www.zaytung.com/haberdetay.asp?newsid=420226,2
ZT0017,Baskılar Sonuç Verdi: Olumsuz Hava Koşulları Nedeniyle Yaz Diyeti Son Başlama Tarihi 1 Haziran'a Kadar Uzatıldı...,https://www.zaytung.com/haberdetay.asp?newsid=420198,2
ZT0018,"Ankara'da Tam Olarak Ne Olup Bittiğini Çözmeye Çalışan Mert Kuzak(32), Gündemi Takip Etme Mücadelesinde Pes Etti: ''Benlik bir durum yoksa Filenin Sultanları ve Survivor'la yola devam ediyorum...""",https://www.zaytung.com/haberdetay.asp?newsid=420167,2
ZT0019,2.7 Trilyon Lira Açık Vermesi Beklenen Bütçe İçin 100 Milyar Liralık Tasarruf Tedbiri Açıklayan Mehmet Şimşek: ''Şu basın toplantısı için yaktığımız elektriğe değdi mi emin değilim...'',https://www.zaytung.com/haberdetay.asp?newsid=420136,2
ZT0020,''Ben de bunun annesiyim'' Notuyla Paylaşılan Anneler Günü Fotoğrafına Kediden İtiraz: ''İfadeler gerçeği yansıtmıyor...'',https://www.zaytung.com/haberdetay.asp?newsid=420105,2
ZT0021,"Araplara TC Vatandaşlığı Satan Acentelerden, Müşterilerine Önemli Hatırlatma: ''Çocuğunuzun cinayet işleme hakkı fiyata dahil değilmiş. Biz de yeni öğrendik...''",https://www.zaytung.com/haberdetay.asp?newsid=420063,2
ZT0022,Dışişleri Bakanlığı'ndan Vizesiz Avrupa Müjdesi: ''Önce sağlam bir şişme bot temin ediyorsunuz...'',https://www.zaytung.com/haberdetay.asp?newsid=420026,3
ZT0023,"Bodrum Beach İşletmecileri Birliği, Bozulan Fiyat Algısından Şikayetçi: ''Lahmacunu kaçtan satsak çüş denir bilemiyoruz...''",https://www.zaytung.com/haberdetay.asp?newsid=419990,3
ZT0024,Bir Mayıs Nedeniyle Tüm Toplu Taşımaya Yasak Getiren İstanbul Valiliği: ''İşe gitseniz n'olcak? Sanki kaç para alıyonuz ki?'',https://www.zaytung.com/haberdetay.asp?newsid=419915,3
ZT0025,"Ekonomik Krizle Boğuşan Türkiye, Ankara'da Her Şeyden Uzak Anayasayla Falan Uğraşan Bir Grup Mutlu AKP'liyi Gıptayla İzliyor...",https://www.zaytung.com/haberdetay.asp?newsid=419906,3
ZT0026,Türk Müşterilere Daha Fazla Fiyat Çeken Oteller Olduğu İddiası Turizm Bakanlığı'nda Şok Etkisi Yarattı: ''Türkler Yunanistan'da tatil yapmıyor mu?'',https://www.zaytung.com/haberdetay.asp?newsid=419897,3
ZT0027,"Çocuklarına Miras Olarak Kadıköy'de Boş Park Yeri Bırakan Suat Dumanlı, Ölümünün 15. Yıl Dönümünde Mezarı Başında Anıldı...",https://www.zaytung.com/haberdetay.asp?newsid=419890,3
ZT0028,"Belediyeyi 2 Milyar TL Borçla Devralan Belediye Başkanı, Koltuğu 23 Nisan'da Gelen Çocuğa Devrettikten Sonra Kayıplara Karıştı...",https://www.zaytung.com/haberdetay.asp?newsid=419814,3
ZT0029,Kafe/Restoran Boykotuna Katılanlar Anlatıyor: ''Pahalılıktan soğan halcilerini ve marketleri sorumlu tutmakla aynı zeka seviyesi ama bu bi tık daha havalı...'',https://www.zaytung.com/haberdetay.asp?newsid=419742,3
ZT0030,Yerel Halkı Enflasyonun Düşeceğine İkna Etmek Üzere Hazine ve Maliye Bakanlığı Bünyesinde 5000 Büyücü İstihdam Edilecek...,https://www.zaytung.com/haberdetay.asp?newsid=419712,3
ZT0031,"AKP'de Seçim Sonuçları İlk Kurbanını Aldı: Tepkilerin Odağındaki İstakoz, Görevden Affını İstedi...",https://www.zaytung.com/haberdetay.asp?newsid=419661,3
ZT0032,"9 Günlük Tatilin Ardından İlk İş Gününde 818 Milyar TL Zarar Açıklayan Merkez Bankası Başkanı Fatih Karahan, Pazartesi Sendromunda Çıtayı Zirveye Taşıyan İsim Oldu...",https://www.zaytung.com/haberdetay.asp?newsid=419616,4
ZT0033,"Ailesi İle Bayram Ziyaretlerini Tamamlayan Efe Küçükali(6), 3 Günde 18 Çifti Çocuk Fikrinden Tiksindirmeyi Başardı...",https://www.zaytung.com/haberdetay.asp?newsid=419568,4
ZT0034,"Geçmiş Bayramlarda Boş İstanbul'un Tadını Çıkaran Suriyeli ve Afganlar, Bu Yıl da Ekonomik Çöküş Mağduru: ''Bu ne abi her yer Türk?!''",https://www.zaytung.com/haberdetay.asp?newsid=419528,4
ZT0035,"Uzaktan Akrabalar, Genişletilmiş Soru Bankasıyla Bu Bayramda Sizi Daha da Darlamak İçin Bekliyor...",https://www.zaytung.com/haberdetay.asp?newsid=419509,4
ZT0036,"Sırf AKP'li Akrabaların AKP'yi Gömmesini İzlemek İçin Yıllar Sonra Facebook'a Giren Ezgi Kuraz(28), Bayram Tatilinde Memlekete Gitmeyi Dört Gözle Bekliyor...",https://www.zaytung.com/haberdetay.asp?newsid=419446,4
ZT0037,"''7 Haziran - 1 Kasım'' Filminin 2.'sini Gösterime Sokan Yapım Şirketi, Gişe Konusunda Endişeli: ''Aç karnına ne kadar izlenir?''",https://www.zaytung.com/haberdetay.asp?newsid=419393,4
ZT0038,10 Ay İçinde Birbirinin Tam Tersi 2 Seçim Sonucu Çıkaran Türkiye'ye ''Borderline Tipi Demokrasi'' Teşhisi Kondu...,https://www.zaytung.com/haberdetay.asp?newsid=419319,4
ZT0039,"Göreve Geldiğinden Beri Dünyayı Gezip Tek Kuruş Bulamadan Geri Dönen Mehmet Şimşek, Yerel Seçim Sürecinin Bitişi Nedeniyle Buruk: ''İlk kez bi işe yaradığımı hissetmiştim...''",https://www.zaytung.com/haberdetay.asp?newsid=419239,4
ZT0040,İflas Etmek İçin Seçim Sonrasını Bekleyen Esnafa Mehmet Şimşek'ten Teşekkür Ziyareti...,https://www.zaytung.com/haberdetay.asp?newsid=419191,4
ZT0041,Kamuda İlk Tasarruf Hamlesi Cumhurbaşkanlığı'ndan: Filodaki Makam Araçlarının Yakıt İhtiyacı İçin Sarayın Bahçesine Petrol Sondajı Vurulacak...,https://www.zaytung.com/haberdetay.asp?newsid=419163,4
ZT0042,Murat Kurum'a Destek İçin Sahaya Sürdüğü 17 Bakan'dan İstediği Randımanı Alamayan AKP'de Bakan Nebati'ye Yeniden Forma Şansı: ''Bu en azından güldürüyordu...'',https://www.zaytung.com/haberdetay.asp?newsid=419134,5
ZT0043,"Ankara'nın Sahibi Olduğu Ortaya Çıkan Turgut Altınok, Kendisine Oy Vermeyi Düşünmeyenlerin 1 Hafta İçinde Şehri Tahliye Etmesini İstedi...",https://www.zaytung.com/haberdetay.asp?newsid=419027,5
ZT0044,Ekonomik Krizle Birlikte Kaybolmaya Yüz Tutan Bir Ramazan Geleneği: ''İftarda Fazla Yemeyin'' Uyarısı Yapan Diyetisyenler...,https://www.zaytung.com/haberdetay.asp?newsid=419007,5
ZT0045,Muhtar Adaylarından Samimi İtiraf: ''Tam olarak ne işe yarayacağımızı bilmiyoruz ama seçilmeyi çok istiyoruz...'',https://www.zaytung.com/haberdetay.asp?newsid=418828,5
ZT0046,"Piyasalarda Bugün: 2 Yıldır Borsa Muhabbetiyle Kafa Ütüleyen Ofisteki Eleman, Yeniden Coin Tavsiyesi Vermeye Başladı...",https://www.zaytung.com/haberdetay.asp?newsid=418808,5
ZT0047,"AK Parti, Murat Kurum'un 31 Mart Akşamına Kadar Kesinlikle Ağzını Açmayacağı Yeni Bir Seçim Stratejisi Üzerinde Çalışıyor...",https://www.zaytung.com/haberdetay.asp?newsid=418790,5
ZT0048,"Et Fiyatlarına Müdahale İçin Ahır Baskınları Gerçekleştirecek Ticaret Bakanlığı'na Bağlı Özel Tim, İzleyenlerden Tam Not Aldı...",https://www.zaytung.com/haberdetay.asp?newsid=418771,5
ZT0049,Sorunlarla Yüzleşmek Yerine Dizi İzlerken Sızmanın En Etkili Çözüm Yöntemi Olduğu Bilimsel Olarak Kanıtlandı...,https://www.zaytung.com/haberdetay.asp?newsid=418734,5
ZT0050,Bir Pazar Gecesi Daha O Soruya Yanıt Arayarak Geçiyor: ''Oturduğum yerde nasıl 1500 TL harcadım?'',https://www.zaytung.com/haberdetay.asp?newsid=418712,5
ZT0051,Twitch'e Erişim Engelinin Ardından ''Çevresel Felaket'' Endişesi: Uzmanlar Milyonlarca Ergenin Etrafa Yayılması Riskine Dikkat Çekiyor...,https://www.zaytung.com/haberdetay.asp?newsid=418668,5
ZT0052,Personeli İçin İskandinav Ülkeleri Turu Düzenleyen Ancak Tepki Olmasın Diye Fotoğraf Paylaşmalarını Yasaklayan Diyanet İşleri: ''Bundan daha büyük bir imtihan olabilir mi?'',https://www.zaytung.com/haberdetay.asp?newsid=418614,6
ZT0053,"Son Olarak Türkiye'nin Yüzde 52'sinin Mutlu, Yüzde 67'sinin Gelecekten Umutlu Olduğunu Açıklayan TÜİK'in Şebeke Suyunda İnceleme Başlatıldı...",https://www.zaytung.com/haberdetay.asp?newsid=418583,6
ZT0054,Kapatılması Gereken İliç'teki Madene Kapasite Artırma İzni Verdiği Ortaya Çıkan Murat Kurum: ''Aynı hoşgörü iklimini İstanbul'da da hakim kılacağız...'',https://www.zaytung.com/haberdetay.asp?newsid=418547,6
